Id,Designator,Package,MPN,Quantity,Designation,Supplier and ref,_1
1,J1,MF_Connectors-MICROUSB-RIGHT,,1,USB_MICRO_RIGHT,,
2,U1,MF_IC_Digital-SSOP16,,1,FT230XS-R,,
3,"REF**,REF**,C12,C21,C20,C19,C18,C17,C16,C14,C13,C9,C8,C7,C3,C2",MF_Passives-C0402,,16,0.1uF,,
4,GND,MF_Connectors-PTH_2.54MM_01X02,,1,VAL**,,
5,"DEPTH,TRIM,SUBDIV,OFFSET,SHAPE,RATE",MF_Passives-TC33,,6,POTENTIOMETER_10K_TC33,,
6,"JP8,JP7,JP6,JP5,JP4,JP3,JP2,JP1,JP14,JP13,JP12,JP11,JP10,JP9",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,,14,SolderJumper_2_Bridged,,
7,"J22,J13,SW1,SW2,J17,PWM",MF_Connectors-PTH_2.54MM_01X02,,6,CON_01X02_PTH_2.54MM,,
8,"H4,H3,H2,H1",MountingHole_3.2mm_M3,,4,MountingHole_Pad,,
9,"C24,C23,C22,C15",MF_Passives-C0402,,4,100n,,
10,J21,BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles,,1,Barrel_Jack,,
11,"U15,U14",SOP-4_3.8x4.1mm_P2.54mm,,2,CPC1017N,,
12,J20,Jack_0.25in_TRS_Switched,,1,AudioJack3_Switch,,
13,U13,LQFP-64_10x10mm_P0.5mm,,1,STM32F030RCTx,,
14,"U12,U11,U8,U7",Luna_NSL-32,,4,NSL-32,,
15,"U10,U9,U6,U5",MF_Discrete_Semiconductor-SOT-23-3,,4,NPN_BJTMMBT3904_SOT-23-3,,
16,"U4,U3",TSSOP-14-1EP_4.4x5mm_P0.65mm,,2,MCP42050,,
17,U2,MF_IC_Power-SOT-223-3,,1,NCP1117LPST33T3G,,
18,RESET,MF_Switches-TACT4.2MM,,1,TACT_4.2MM,,
19,"BYPASS,TAP",MF_Switches-TACT6MM,,2,TACT_6MM,,
20,SW2,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,,1,SW_DIP_x02,,
21,SW1,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,,1,SW_DIP_x04,,
22,"RV6,RV5,RV4,RV3,RV2,RV1",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles,,6,10k,,
23,"R29,R28",MF_Passives-R0402,,2,47,,
24,"R27,R26,R25",MF_Passives-R0402,,3,100,,
25,R18,MF_Passives-R0603,,1,0,,
26,R17,MF_Passives-R0402,,1,10k,,
27,"R16,R15,R10,R9",MF_Passives-R0603,,4,10k,,
28,"R14,R13,R12,R11,R8,R7,R6,R5",MF_Passives-R0603,,8,100,,
29,R4,MF_Passives-R0402,,1,470,,
30,"R3,R2",MF_Passives-R0402,,2,330,,
31,R1,MF_Passives-R0402,,1,560,,
32,"GPIO,SWD,UART",MF_Connectors-PTH_2.54MM_01X06,,3,CON_01X06_PTH_2.54MM,,
33,J14,MF_Connectors-PTH_2.54MM_01X04,,1,CON_01X04_PTH_2.54MM,,
34,"AIN,Digipot_2_1,Digipot_2_0,Digipot_1_1,Digipot_1_0",MF_Connectors-PTH_2.54MM_01X03,,5,CON_01X03_PTH_2.54MM,,
35,"J9,J8,J7,J6",MF_Connectors-PTH_2.54MM_01X02,,4,Conn_01x02_Male,,
36,"D13,D1",MF_Discrete_Semiconductor-SMA,,2,DIODES_B140_SMA,,
37,"LED2,D9,D8,D7,D6",MF_LEDs-LED0805,,5,LED_SINGLE-0805-RED,,
38,LED1,MF_LEDs-LED0805,,1,LED_SINGLE-0805-GREEN,,
39,D10,MF_LEDs-PLCC4,,1,LED_RGB_CA_PLCC4,,
40,"3V3,D4,D3,VIN",MF_LEDs-LED0603,,4,LED_SINGLE-0603-GREEN,,
41,"C11,C1",MF_Passives-C0402,,2,1uF,,
42,C10,MF_Passives-C0402,,1,10n,,
43,"C6,C5,C4",MF_Passives-C1206,,3,10uF,,
